"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16331","Validate Council Output [ArunCouncil]","","Thu Oct 31 00:01:29 GMT 2024","passed","Thu Oct 31 00:01:46 GMT 2024","","","",""
"","7774","Validate Council Output [ElmbridgeBoroughCouncil]","","Thu Oct 31 00:12:03 GMT 2024","passed","Thu Oct 31 00:12:11 GMT 2024","","","",""
"","120089","Validate Council Output [WalthamForest]","","Thu Oct 31 00:32:30 GMT 2024","failed","Thu Oct 31 00:34:30 GMT 2024","","","",""
"","2787","Validate Council Output [RhonddaCynonTaffCouncil]","","Thu Oct 31 00:25:48 GMT 2024","passed","Thu Oct 31 00:25:50 GMT 2024","","","",""
"","2751","Validate Council Output [WokingBoroughCouncil]","","Thu Oct 31 00:35:37 GMT 2024","passed","Thu Oct 31 00:35:40 GMT 2024","","","",""
"","120102","Validate Council Output [GuildfordCouncil]","","Thu Oct 31 00:11:11 GMT 2024","failed","Thu Oct 31 00:13:11 GMT 2024","","","",""
"","2016","Validate Council Output [GlasgowCityCouncil]","","Thu Oct 31 00:09:08 GMT 2024","failed","Thu Oct 31 00:09:10 GMT 2024","","","",""
"","2604","Validate Council Output [TunbridgeWellsCouncil]","","Thu Oct 31 00:29:51 GMT 2024","passed","Thu Oct 31 00:29:53 GMT 2024","","","",""
"","1094","Validate Council Output [StaffordBoroughCouncil]","","Thu Oct 31 00:26:15 GMT 2024","passed","Thu Oct 31 00:26:16 GMT 2024","","","",""
"","120102","Validate Council Output [MidAndEastAntrimBoroughCouncil]","","Thu Oct 31 00:13:59 GMT 2024","failed","Thu Oct 31 00:15:59 GMT 2024","","","",""
"","684","Validate Council Output [RochfordCouncil]","","Thu Oct 31 00:25:52 GMT 2024","passed","Thu Oct 31 00:25:53 GMT 2024","","","",""
"","816","Validate Council Output [BathAndNorthEastSomersetCouncil]","","Thu Oct 31 00:03:54 GMT 2024","passed","Thu Oct 31 00:03:55 GMT 2024","","","",""
"","1490","Validate Council Output [RotherhamCouncil]","","Thu Oct 31 00:25:53 GMT 2024","passed","Thu Oct 31 00:25:54 GMT 2024","","","",""
"","799","Validate Council Output [BasildonCouncil]","","Thu Oct 31 00:03:48 GMT 2024","passed","Thu Oct 31 00:03:49 GMT 2024","","","",""
"","120253","Validate Council Output [EnfieldCouncil]","","Thu Oct 31 00:12:11 GMT 2024","failed","Thu Oct 31 00:14:12 GMT 2024","","","",""
"","9818","Validate Council Output [StratfordUponAvonCouncil]","","Thu Oct 31 00:29:09 GMT 2024","passed","Thu Oct 31 00:29:19 GMT 2024","","","",""
"","120104","Validate Council Output [HighPeakCouncil]","","Thu Oct 31 00:15:24 GMT 2024","failed","Thu Oct 31 00:17:24 GMT 2024","","","",""
"","993","Validate Council Output [MalvernHillsDC]","","Thu Oct 31 00:16:33 GMT 2024","passed","Thu Oct 31 00:16:34 GMT 2024","","","",""
"","1011","Validate Council Output [MoleValleyDistrictCouncil]","","Thu Oct 31 00:18:03 GMT 2024","passed","Thu Oct 31 00:18:04 GMT 2024","","","",""
"","120186","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]","","Thu Oct 31 00:26:16 GMT 2024","failed","Thu Oct 31 00:28:16 GMT 2024","","","",""
"","120210","Validate Council Output [TeignbridgeCouncil]","","Thu Oct 31 00:30:28 GMT 2024","failed","Thu Oct 31 00:32:28 GMT 2024","","","",""
"","4512","Validate Council Output [WiganBoroughCouncil]","","Thu Oct 31 00:34:35 GMT 2024","passed","Thu Oct 31 00:34:39 GMT 2024","","","",""
"","1163","Validate Council Output [SouthNorfolkCouncil]","","Thu Oct 31 00:25:58 GMT 2024","failed","Thu Oct 31 00:25:59 GMT 2024","","","",""
"","1910","Validate Council Output [BelfastCityCouncil]","","Thu Oct 31 00:01:20 GMT 2024","passed","Thu Oct 31 00:01:22 GMT 2024","","","",""
"","1522","Validate Council Output [BracknellForestCouncil]","","Thu Oct 31 00:05:47 GMT 2024","passed","Thu Oct 31 00:05:49 GMT 2024","","","",""
"","134431","Validate Council Output [ValeofGlamorganCouncil]","","Thu Oct 31 00:31:54 GMT 2024","failed","Thu Oct 31 00:34:08 GMT 2024","","","",""
"","1243","Validate Council Output [HuntingdonDistrictCouncil]","","Thu Oct 31 00:19:27 GMT 2024","passed","Thu Oct 31 00:19:28 GMT 2024","","","",""
"","628","Validate Council Output [BCPCouncil]","","Thu Oct 31 00:01:47 GMT 2024","passed","Thu Oct 31 00:01:47 GMT 2024","","","",""
"","134654","Validate Council Output [SalfordCityCouncil]","","Thu Oct 31 00:25:08 GMT 2024","failed","Thu Oct 31 00:27:23 GMT 2024","","","",""
"","3962","Validate Council Output [FifeCouncil]","","Thu Oct 31 00:16:23 GMT 2024","passed","Thu Oct 31 00:16:27 GMT 2024","","","",""
"","6668","Validate Council Output [ArmaghBanbridgeCraigavonCouncil]","","Thu Oct 31 00:01:23 GMT 2024","passed","Thu Oct 31 00:01:29 GMT 2024","","","",""
"","638","Validate Council Output [RushmoorCouncil]","","Thu Oct 31 00:25:07 GMT 2024","passed","Thu Oct 31 00:25:08 GMT 2024","","","",""
"","10106","Validate Council Output [TandridgeDistrictCouncil]","","Thu Oct 31 00:30:18 GMT 2024","passed","Thu Oct 31 00:30:28 GMT 2024","","","",""
"","2381","Validate Council Output [ErewashBoroughCouncil]","","Thu Oct 31 00:16:13 GMT 2024","passed","Thu Oct 31 00:16:16 GMT 2024","","","",""
"","977","Validate Council Output [LisburnCastlereaghCityCouncil]","","Thu Oct 31 00:14:04 GMT 2024","passed","Thu Oct 31 00:14:05 GMT 2024","","","",""
"","804","Validate Council Output [CannockChaseDistrictCouncil]","","Thu Oct 31 00:01:26 GMT 2024","passed","Thu Oct 31 00:01:27 GMT 2024","","","",""
"","2552","Validate Council Output [SheffieldCityCouncil]","","Thu Oct 31 00:29:23 GMT 2024","passed","Thu Oct 31 00:29:26 GMT 2024","","","",""
"","2181","Validate Council Output [WirralCouncil]","","Thu Oct 31 00:35:35 GMT 2024","passed","Thu Oct 31 00:35:37 GMT 2024","","","",""
"","120088","Validate Council Output [SevenoaksDistrictCouncil]","","Thu Oct 31 00:27:23 GMT 2024","failed","Thu Oct 31 00:29:23 GMT 2024","","","",""
"","1392","Validate Council Output [EastleighBoroughCouncil]","","Thu Oct 31 00:12:02 GMT 2024","passed","Thu Oct 31 00:12:03 GMT 2024","","","",""
"","134148","Validate Council Output [TamesideMBCouncil]","","Thu Oct 31 00:29:57 GMT 2024","failed","Thu Oct 31 00:32:11 GMT 2024","","","",""
"","1456","Validate Council Output [PerthAndKinrossCouncil]","","Thu Oct 31 00:25:03 GMT 2024","passed","Thu Oct 31 00:25:04 GMT 2024","","","",""
"","8848","Validate Council Output [TorbayCouncil]","","Thu Oct 31 00:29:34 GMT 2024","passed","Thu Oct 31 00:29:43 GMT 2024","","","",""
