"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120085","Validate Council Output [WestOxfordshireDistrictCouncil]","","Thu Oct 31 06:24:25 GMT 2024","failed","Thu Oct 31 06:26:25 GMT 2024","","","",""
"","123143","Validate Council Output [AshfordBoroughCouncil]","","Thu Oct 31 06:22:26 GMT 2024","failed","Thu Oct 31 06:24:29 GMT 2024","","","",""
"","120395","Validate Council Output [ForestOfDeanDistrictCouncil]","","Thu Oct 31 06:22:22 GMT 2024","failed","Thu Oct 31 06:24:22 GMT 2024","","","",""
"","120242","Validate Council Output [PowysCouncil]","","Thu Oct 31 06:24:23 GMT 2024","failed","Thu Oct 31 06:26:23 GMT 2024","","","",""
"","2626","Validate Council Output [CroydonCouncil]","","Thu Oct 31 06:22:22 GMT 2024","failed","Thu Oct 31 06:22:25 GMT 2024","","","",""
"","4278","Validate Council Output [ArdsAndNorthDownCouncil]","","Thu Oct 31 06:22:22 GMT 2024","passed","Thu Oct 31 06:22:26 GMT 2024","","","",""
"","2981","Validate Council Output [WorcesterCityCouncil]","","Thu Oct 31 06:24:30 GMT 2024","passed","Thu Oct 31 06:24:33 GMT 2024","","","",""
"","120290","Validate Council Output [EastHertsCouncil]","","Thu Oct 31 06:22:25 GMT 2024","failed","Thu Oct 31 06:24:25 GMT 2024","","","",""
"","301036","Validate Council Output [SouthKestevenDistrictCouncil]","","Thu Oct 31 06:22:22 GMT 2024","failed","Thu Oct 31 06:27:23 GMT 2024","","","",""
"","2613","Validate Council Output [SouthNorfolkCouncil]","","Thu Oct 31 06:27:23 GMT 2024","passed","Thu Oct 31 06:27:26 GMT 2024","","","",""
