"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","680","Validate Council Output [BarnsleyMBCouncil]","","Thu Oct 31 00:03:47 GMT 2024","passed","Thu Oct 31 00:03:47 GMT 2024","","","",""
"","120169","Validate Council Output [KnowsleyMBCouncil]","","Thu Oct 31 00:23:37 GMT 2024","failed","Thu Oct 31 00:25:37 GMT 2024","","","",""
"","120063","Validate Council Output [TendringDistrictCouncil]","","Thu Oct 31 00:31:23 GMT 2024","failed","Thu Oct 31 00:33:23 GMT 2024","","","",""
"","120106","Validate Council Output [UttlesfordDistrictCouncil]","","Thu Oct 31 00:29:53 GMT 2024","failed","Thu Oct 31 00:31:53 GMT 2024","","","",""
"","120144","Validate Council Output [MidSussexDistrictCouncil]","","Thu Oct 31 00:16:00 GMT 2024","failed","Thu Oct 31 00:18:00 GMT 2024","","","",""
"","120090","Validate Council Output [HighPeakCouncil]","","Thu Oct 31 00:15:25 GMT 2024","failed","Thu Oct 31 00:17:25 GMT 2024","","","",""
"","3134","Validate Council Output [WiganBoroughCouncil]","","Thu Oct 31 00:34:16 GMT 2024","passed","Thu Oct 31 00:34:19 GMT 2024","","","",""
"","717","Validate Council Output [BathAndNorthEastSomersetCouncil]","","Thu Oct 31 00:03:54 GMT 2024","passed","Thu Oct 31 00:03:55 GMT 2024","","","",""
"","121862","Validate Council Output [LondonBoroughRedbridge]","","Thu Oct 31 00:14:27 GMT 2024","failed","Thu Oct 31 00:16:29 GMT 2024","","","",""
"","120140","Validate Council Output [EastRenfrewshireCouncil]","","Thu Oct 31 00:06:01 GMT 2024","failed","Thu Oct 31 00:08:01 GMT 2024","","","",""
"","120137","Validate Council Output [WinchesterCityCouncil]","","Thu Oct 31 00:34:21 GMT 2024","failed","Thu Oct 31 00:36:21 GMT 2024","","","",""
"","1504","Validate Council Output [FalkirkCouncil]","","Thu Oct 31 00:16:11 GMT 2024","passed","Thu Oct 31 00:16:13 GMT 2024","","","",""
"","9832","Validate Council Output [WestSuffolkCouncil]","","Thu Oct 31 00:36:03 GMT 2024","passed","Thu Oct 31 00:36:12 GMT 2024","","","",""
"","5428","Validate Council Output [HullCityCouncil]","","Thu Oct 31 00:19:25 GMT 2024","failed","Thu Oct 31 00:19:31 GMT 2024","","","",""
"","802","Validate Council Output [BradfordMDC]","","Thu Oct 31 00:05:48 GMT 2024","passed","Thu Oct 31 00:05:48 GMT 2024","","","",""
"","121370","Validate Council Output [KingstonUponThamesCouncil]","","Thu Oct 31 00:19:35 GMT 2024","failed","Thu Oct 31 00:21:36 GMT 2024","","","",""
