"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","408","Validate Council Output [ReadingBoroughCouncil]","","Wed Oct 30 00:22:49 GMT 2024","passed","Wed Oct 30 00:22:49 GMT 2024","","","",""
"","42666","Validate Council Output [CheshireWestAndChesterCouncil]","","Wed Oct 30 00:06:59 GMT 2024","passed","Wed Oct 30 00:07:42 GMT 2024","","","",""
"","689","Validate Council Output [RochfordCouncil]","","Wed Oct 30 00:23:28 GMT 2024","passed","Wed Oct 30 00:23:28 GMT 2024","","","",""
"","40687","Validate Council Output [StocktonOnTeesCouncil]","","Wed Oct 30 00:33:48 GMT 2024","passed","Wed Oct 30 00:34:29 GMT 2024","","","",""
"","1831","Validate Council Output [BelfastCityCouncil]","","Wed Oct 30 00:01:11 GMT 2024","passed","Wed Oct 30 00:01:13 GMT 2024","","","",""
"","10937","Validate Council Output [LondonBoroughRedbridge]","","Wed Oct 30 00:20:20 GMT 2024","passed","Wed Oct 30 00:20:31 GMT 2024","","","",""
"","1163","Validate Council Output [DartfordBoroughCouncil]","","Wed Oct 30 00:07:05 GMT 2024","passed","Wed Oct 30 00:07:06 GMT 2024","","","",""
"","1359","Validate Council Output [LondonBoroughLambeth]","","Wed Oct 30 00:20:19 GMT 2024","passed","Wed Oct 30 00:20:20 GMT 2024","","","",""
"","65339","Validate Council Output [MidAndEastAntrimBoroughCouncil]","","Wed Oct 30 00:19:03 GMT 2024","passed","Wed Oct 30 00:20:08 GMT 2024","","","",""
"","1224","Validate Council Output [StaffordBoroughCouncil]","","Wed Oct 30 00:28:45 GMT 2024","passed","Wed Oct 30 00:28:46 GMT 2024","","","",""
"","283909","Validate Council Output [EastSuffolkCouncil]","","Wed Oct 30 00:14:06 GMT 2024","passed","Wed Oct 30 00:18:50 GMT 2024","","","",""
"","73477","Validate Council Output [WindsorAndMaidenheadCouncil]","","Wed Oct 30 00:36:20 GMT 2024","passed","Wed Oct 30 00:37:33 GMT 2024","","","",""
"","2987","Validate Council Output [IslingtonCouncil]","","Wed Oct 30 00:20:19 GMT 2024","failed","Wed Oct 30 00:20:22 GMT 2024","","","",""
"","2105","Validate Council Output [WiltshireCouncil]","","Wed Oct 30 00:35:06 GMT 2024","passed","Wed Oct 30 00:35:08 GMT 2024","","","",""
"","621","Validate Council Output [MoleValleyDistrictCouncil]","","Wed Oct 30 00:20:24 GMT 2024","passed","Wed Oct 30 00:20:24 GMT 2024","","","",""
"","1097","Validate Council Output [LondonBoroughEaling]","","Wed Oct 30 00:20:01 GMT 2024","passed","Wed Oct 30 00:20:02 GMT 2024","","","",""
"","1924","Validate Council Output [WelhatCouncil]","","Wed Oct 30 00:34:25 GMT 2024","passed","Wed Oct 30 00:34:27 GMT 2024","","","",""
"","2186","Validate Council Output [WyreCouncil]","","Wed Oct 30 00:37:31 GMT 2024","passed","Wed Oct 30 00:37:33 GMT 2024","","","",""
"","2263","Validate Council Output [RugbyBoroughCouncil]","","Wed Oct 30 00:23:31 GMT 2024","passed","Wed Oct 30 00:23:33 GMT 2024","","","",""
"","1290","Validate Council Output [BracknellForestCouncil]","","Wed Oct 30 00:07:49 GMT 2024","passed","Wed Oct 30 00:07:51 GMT 2024","","","",""
"","2853","Validate Council Output [EastCambridgeshireCouncil]","","Wed Oct 30 00:07:21 GMT 2024","passed","Wed Oct 30 00:07:24 GMT 2024","","","",""
"","718","Validate Council Output [ConwyCountyBorough]","","Wed Oct 30 00:18:54 GMT 2024","passed","Wed Oct 30 00:18:55 GMT 2024","","","",""
"","300039","Validate Council Output [SunderlandCityCouncil]","","Wed Oct 30 00:23:50 GMT 2024","failed","Wed Oct 30 00:28:50 GMT 2024","","","",""
"","44628","Validate Council Output [ArunCouncil]","","Wed Oct 30 00:01:20 GMT 2024","passed","Wed Oct 30 00:02:05 GMT 2024","","","",""
"","300183","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]","","Wed Oct 30 00:28:46 GMT 2024","failed","Wed Oct 30 00:33:46 GMT 2024","","","",""
"","80428","Validate Council Output [WestOxfordshireDistrictCouncil]","","Wed Oct 30 00:34:53 GMT 2024","failed","Wed Oct 30 00:36:13 GMT 2024","","","",""
"","10168","Validate Council Output [RenfrewshireCouncil]","","Wed Oct 30 00:23:14 GMT 2024","passed","Wed Oct 30 00:23:24 GMT 2024","","","",""
"","2967","Validate Council Output [SouthOxfordshireCouncil]","","Wed Oct 30 00:23:34 GMT 2024","passed","Wed Oct 30 00:23:37 GMT 2024","","","",""
"","300308","Validate Council Output [PrestonCityCouncil]","","Wed Oct 30 00:23:43 GMT 2024","failed","Wed Oct 30 00:28:43 GMT 2024","","","",""
"","2262","Validate Council Output [RotherhamCouncil]","","Wed Oct 30 00:23:28 GMT 2024","passed","Wed Oct 30 00:23:31 GMT 2024","","","",""
"","35218","Validate Council Output [EppingForestDistrictCouncil]","","Wed Oct 30 00:19:43 GMT 2024","passed","Wed Oct 30 00:20:18 GMT 2024","","","",""
"","2006","Validate Council Output [ErewashBoroughCouncil]","","Wed Oct 30 00:20:18 GMT 2024","passed","Wed Oct 30 00:20:20 GMT 2024","","","",""
"","133963","Validate Council Output [TamesideMBCouncil]","","Wed Oct 30 00:33:53 GMT 2024","failed","Wed Oct 30 00:36:07 GMT 2024","","","",""
"","22626","Validate Council Output [WestLothianCouncil]","","Wed Oct 30 00:34:46 GMT 2024","passed","Wed Oct 30 00:35:08 GMT 2024","","","",""
"","2836","Validate Council Output [WaverleyBoroughCouncil]","","Wed Oct 30 00:34:20 GMT 2024","passed","Wed Oct 30 00:34:23 GMT 2024","","","",""
"","1732","Validate Council Output [TorbayCouncil]","","Wed Oct 30 00:29:08 GMT 2024","passed","Wed Oct 30 00:29:09 GMT 2024","","","",""
"","2751","Validate Council Output [HarrogateBoroughCouncil]","","Wed Oct 30 00:18:41 GMT 2024","passed","Wed Oct 30 00:18:43 GMT 2024","","","",""
"","951","Validate Council Output [TelfordAndWrekinCouncil]","","Wed Oct 30 00:29:00 GMT 2024","passed","Wed Oct 30 00:29:01 GMT 2024","","","",""
