"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3975","Validate Council Output [CroydonCouncil]","","Thu Oct 31 06:22:05 GMT 2024","passed","Thu Oct 31 06:22:09 GMT 2024","","","",""
"","120112","Validate Council Output [EastHertsCouncil]","","Thu Oct 31 06:22:09 GMT 2024","failed","Thu Oct 31 06:24:09 GMT 2024","","","",""
"","120095","Validate Council Output [WestOxfordshireDistrictCouncil]","","Thu Oct 31 06:24:09 GMT 2024","failed","Thu Oct 31 06:26:09 GMT 2024","","","",""
"","1351","Validate Council Output [SouthNorfolkCouncil]","","Thu Oct 31 06:27:06 GMT 2024","passed","Thu Oct 31 06:27:08 GMT 2024","","","",""
"","301146","Validate Council Output [SouthKestevenDistrictCouncil]","","Thu Oct 31 06:22:05 GMT 2024","failed","Thu Oct 31 06:27:06 GMT 2024","","","",""
"","120244","Validate Council Output [ForestOfDeanDistrictCouncil]","","Thu Oct 31 06:22:05 GMT 2024","failed","Thu Oct 31 06:24:05 GMT 2024","","","",""
"","120117","Validate Council Output [PowysCouncil]","","Thu Oct 31 06:24:05 GMT 2024","failed","Thu Oct 31 06:26:05 GMT 2024","","","",""
"","4061","Validate Council Output [ArdsAndNorthDownCouncil]","","Thu Oct 31 06:22:05 GMT 2024","passed","Thu Oct 31 06:22:09 GMT 2024","","","",""
"","2313","Validate Council Output [WorcesterCityCouncil]","","Thu Oct 31 06:24:11 GMT 2024","passed","Thu Oct 31 06:24:13 GMT 2024","","","",""
"","121761","Validate Council Output [AshfordBoroughCouncil]","","Thu Oct 31 06:22:09 GMT 2024","failed","Thu Oct 31 06:24:11 GMT 2024","","","",""
